time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2013-09-27T01:37:17Z,109,0,0,0,0,0,3199221,2760,52264,1120,0,0,0,0,0,56,5,0,0,0,0,0,0,8,8,0,6,3,11,48,28,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380245776922,3145728,0,0,0,38,0,0,0,1,0,0,0,3,0,0,0,38,1,0,0,0,0,0,1,90231,40,0,0,0,0,0,0,823,3419,0,0,554476000,-1,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-09-27T01:40:01Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380246000710,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,45861752,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:46:25Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380246384974,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,45861608,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:48:01Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380246481112,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,45861608,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:49:13Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380246553606,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,45861608,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:51:05Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380246665544,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,51594696,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:52:05Z,109,0,0,0,0,0,3199221,2760,52264,1120,0,0,0,0,0,56,5,0,0,0,0,0,0,8,8,0,6,3,11,48,28,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380246665544,3145728,0,0,0,38,0,0,0,1,0,0,0,3,0,0,0,38,1,0,0,0,0,0,1,90231,40,0,0,0,0,0,0,1,867,0,0,304247168,-1,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-09-27T01:53:05Z,109,0,0,0,0,0,3199221,2760,52264,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,11,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380246665544,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,983,0,0,322654920,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:54:05Z,109,0,0,0,0,0,3199221,2760,52264,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,11,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380246665544,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325575576,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:55:05Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380246905546,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,45861664,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:56:05Z,109,0,0,0,0,0,3199221,2760,52264,1120,0,0,0,0,0,56,5,0,0,0,0,0,0,8,8,0,6,3,11,48,28,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380246905546,3145728,0,0,0,38,0,0,0,1,0,0,0,3,0,0,0,38,1,0,0,0,0,0,1,90231,40,0,0,0,0,0,0,593,3429,0,0,303538440,-1,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013-09-27T01:57:05Z,109,0,0,0,0,0,3199221,2760,52264,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,6,3,11,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380246905546,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,1236,0,0,331840784,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-27T01:58:57Z,109,0,0,0,0,0,3164221,1800,18384,0,0,0,0,0,0,30,3,0,0,0,0,0,9,3,3,0,2,1,4,20,9,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,61998,2,59233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1380247136696,3145728,0,0,0,17,0,0,0,2,0,0,0,3,0,0,0,17,0,2048,1,0,0,0,0,153600,32,0,0,0,0,0,0,0,0,0,0,51588168,-1,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
